"","var1","var2","value"
"1","NB_EMPT","NB_EMPT",1
"2","R_ATD","R_ATD",1
"3","DUREE","DUREE",1
"4","PRT_VAL","PRT_VAL",1
"5","AGE_D","AGE_D",1
"6","REV_BT","REV_BT",1
"7","REV_NET","REV_NET",1
"8","MNT_EPAR","MNT_EPAR",1
"9","NB_ER_6MS","NB_ER_6MS",1
"10","NB_ER_12MS","NB_ER_12MS",1
"11","NB_DEC_12MS","NB_DEC_12MS",1
"12","NB_OPER","NB_OPER",1
"13","NB_COUR","NB_COUR",1
"14","NB_INTR_1M","NB_INTR_1M",1
"15","NB_INTR_12M","NB_INTR_1M",1
"16","NB_INTR_1M","NB_INTR_12M",1
"17","NB_INTR_12M","NB_INTR_12M",1
"18","PIR_DEL","PIR_DEL",1
"19","NB_DEL_30","NB_DEL_30",1
"20","NB_DEL_60","NB_DEL_60",1
"21","NB_DEL_90","NB_DEL_90",1
"22","MNT_PASS","MNT_PASS",1
"23","MNT_ACT","MNT_ACT",1
"24","MNT_AUT_REN","MNT_AUT_REN",1
"25","MNT_UTIL_REN","MNT_UTIL_REN",1
"26","NB_SATI","NB_SATI",1
"27","MNT_DEMANDE","MNT_DEMANDE",1
"28","PROFIT_LOSS","PROFIT_LOSS",1
"29","NUM_NA","NUM_NA",1
"30","NUM_EMPTY_STRINGS","NUM_EMPTY_STRINGS",1
"31","NB_MISSING_VALUES","NB_MISSING_VALUES",1
"32","TAX","TAX",1
"33","TAX_RATE","TAX_RATE",1
"34","DEBT_ASSET_RATIO","DEBT_ASSET_RATIO",1
"35","DEBT_SAVINGS_RATIO","DEBT_SAVINGS_RATIO",1
"36","CREDIT_UTILIZATION","CREDIT_UTILIZATION",1
"37","LOAN_PER_BORROWER","LOAN_PER_BORROWER",1
"38","LTV_RATIO","LTV_RATIO",1
"39","SATI_TRANSACT_RATE","SATI_TRANSACT_RATE",1
"40","NB_ER_6MS_12MS","NB_ER_6MS_12MS",1
"41","DELTA_NB_ER_6MS_12MS","DELTA_NB_ER_6MS_12MS",1
"42","PROFIT_IND","PROFIT_IND",1
"43","REV_NET","REV_BT",1
"44","REV_BT","REV_NET",1
"45","LOAN_PER_BORROWER","MNT_DEMANDE",0.9
"46","MNT_DEMANDE","LOAN_PER_BORROWER",0.9
"47","NB_MISSING_VALUES","NUM_EMPTY_STRINGS",0.9
"48","NUM_EMPTY_STRINGS","NB_MISSING_VALUES",0.9
"49","PROFIT_IND","PROFIT_LOSS",0.8
"50","PROFIT_LOSS","PROFIT_IND",0.8
"51","NB_SATI","NB_OPER",0.8
"52","NB_OPER","NB_SATI",0.8
"53","TAX","REV_BT",0.8
"54","REV_BT","TAX",0.8
"55","NB_ER_6MS_12MS","NB_ER_12MS",0.8
"56","NB_ER_12MS","NB_ER_6MS_12MS",0.8
"57","NB_ER_12MS","NB_ER_6MS",0.8
"58","NB_ER_6MS","NB_ER_12MS",0.8
"59","MNT_UTIL_REN","MNT_AUT_REN",0.7
"60","MNT_AUT_REN","MNT_UTIL_REN",0.7
"61","NB_COUR","NB_OPER",0.6
"62","NB_OPER","NB_COUR",0.6
"63","DELTA_NB_ER_6MS_12MS","NB_ER_6MS",0.6
"64","NB_ER_6MS","DELTA_NB_ER_6MS_12MS",0.6
"65","TAX","REV_NET",0.6
"66","REV_NET","TAX",0.6
"67","MNT_ACT","MNT_PASS",0.6
"68","MNT_PASS","MNT_ACT",0.6
"69","NB_SATI","NB_COUR",0.5
"70","NB_COUR","NB_SATI",0.5
"71","TAX_RATE","TAX",0.5
"72","TAX","TAX_RATE",0.5
"73","SATI_TRANSACT_RATE","NB_SATI",0.5
"74","NB_SATI","SATI_TRANSACT_RATE",0.5
"75","CREDIT_UTILIZATION","MNT_UTIL_REN",0.5
"76","MNT_UTIL_REN","CREDIT_UTILIZATION",0.5
"77","NB_MISSING_VALUES","NUM_NA",0.4
"78","NUM_NA","NB_MISSING_VALUES",0.4
"79","MNT_ACT","MNT_EPAR",0.3
"80","MNT_EPAR","MNT_ACT",0.3
"81","REV_BT","AGE_D",0.3
"82","AGE_D","REV_BT",0.3
"83","REV_NET","AGE_D",0.3
"84","AGE_D","REV_NET",0.3
