"","Overall","Feature"
"NB_EMPT",244.691754407619,"NB_EMPT"
"R_ATD",2365.66818518777,"R_ATD"
"DUREE",1665.32407516933,"DUREE"
"PRT_VAL",1748.45658758473,"PRT_VAL"
"REV_BT",2268.59498550791,"REV_BT"
"REV_NET",2167.30951947772,"REV_NET"
"TYP_RES.A",498.803293418046,"TYP_RES.A"
"TYP_RES.L",249.663436672741,"TYP_RES.L"
"TYP_RES.P",346.788310195132,"TYP_RES.P"
"ST_EMPL.2",275.393777217372,"ST_EMPL.2"
"ST_EMPL.3",299.390562938435,"ST_EMPL.3"
"ST_EMPL.4",224.687204122808,"ST_EMPL.4"
"ST_EMPL.UNKNOWN",146.513096761433,"ST_EMPL.UNKNOWN"
"MNT_EPAR",2494.86800776696,"MNT_EPAR"
"NB_ER_6MS",790.60169341243,"NB_ER_6MS"
"NB_ER_12MS",1313.55323745123,"NB_ER_12MS"
"NB_DEC_12MS",637.513064368774,"NB_DEC_12MS"
"NB_OPER",1415.33427560757,"NB_OPER"
"NB_COUR",1379.21183423327,"NB_COUR"
"NB_INTR_1M",366.08201868549,"NB_INTR_1M"
"NB_INTR_12M",364.755650654974,"NB_INTR_12M"
"PIR_DEL",1300.21680181785,"PIR_DEL"
"NB_DEL_30",587.832161917843,"NB_DEL_30"
"NB_DEL_60",888.164965150568,"NB_DEL_60"
"NB_DEL_90",1463.81050655831,"NB_DEL_90"
"MNT_PASS",2535.07653134227,"MNT_PASS"
"MNT_ACT",2922.35253162724,"MNT_ACT"
"MNT_AUT_REN",1756.44772103227,"MNT_AUT_REN"
"MNT_UTIL_REN",1983.56277264061,"MNT_UTIL_REN"
"NB_SATI",1390.75688744845,"NB_SATI"
"MNT_DEMANDE",2248.5293175307,"MNT_DEMANDE"
"NUM_NA",58.8373980394812,"NUM_NA"
"NUM_EMPTY_STRINGS",175.011067181841,"NUM_EMPTY_STRINGS"
"NB_MISSING_VALUES",192.270063305311,"NB_MISSING_VALUES"
"TAX",1856.65483977794,"TAX"
"TAX_RATE",2288.39871467612,"TAX_RATE"
"CREDIT_UTILIZATION",2850.73700832585,"CREDIT_UTILIZATION"
"LOAN_PER_BORROWER",2260.23926391612,"LOAN_PER_BORROWER"
"SATI_TRANSACT_RATE",1743.94234122208,"SATI_TRANSACT_RATE"
"NB_ER_6MS_12MS",444.001408389197,"NB_ER_6MS_12MS"
"DELTA_NB_ER_6MS_12MS",661.813631848345,"DELTA_NB_ER_6MS_12MS"
"AGE_D_IMPUTED_RAND_SAMPLE",2336.98128788247,"AGE_D_IMPUTED_RAND_SAMPLE"
